id,dexNum,methodCount,classification,unknownScopeMethodCount
"goldeen","118","0","classified_fixed","0"
"goldeen-f","118","0","classified_fixed","0"
"seaking","119","0","classified_fixed","0"
"seaking-f","119","0","classified_fixed","0"
"staryu","120","0","single_record","0"
"starmie","121","1","modeled","0"
"starmie-mega","121","1","modeled","0"
"mrmime","122","0","classified_fixed","0"
"mrmime-galar","122","0","classified_fixed","0"
"scyther","123","0","classified_fixed","0"
"scyther-f","123","0","classified_fixed","0"
"jynx","124","0","single_record","0"
"electabuzz","125","0","single_record","0"
"magmar","126","0","single_record","0"
"pinsir","127","3","modeled","0"
"pinsir-mega","127","3","modeled","0"
"tauros","128","0","classified_fixed","0"
"tauros-paldea","128","0","classified_fixed","0"
"tauros-paldea-fire","128","0","classified_fixed","0"
"tauros-paldea-water","128","0","classified_fixed","0"
"magikarp","129","0","classified_fixed","0"
"magikarp-f","129","0","classified_fixed","0"
"gyarados","130","3","modeled","0"
"gyarados-f","130","3","modeled","0"
"gyarados-mega","130","3","modeled","0"
"lapras","131","2","modeled","0"
"lapras-gmax","131","1","modeled","0"
"ditto","132","0","single_record","0"
"eevee","133","2","modeled","0"
"eevee-f","133","2","modeled","0"
"eevee-gmax","133","1","modeled","0"
"vaporeon","134","0","single_record","0"
"jolteon","135","0","single_record","0"
"flareon","136","0","single_record","0"
"porygon","137","0","single_record","0"
"omanyte","138","0","single_record","0"
"omastar","139","0","single_record","0"
"kabuto","140","0","single_record","0"
"kabutops","141","0","single_record","0"
"aerodactyl","142","3","modeled","0"
"aerodactyl-mega","142","3","modeled","0"
"snorlax","143","2","modeled","0"
"snorlax-gmax","143","1","modeled","0"
"articuno","144","0","classified_fixed","0"
"articuno-galar","144","0","classified_fixed","0"
"zapdos","145","0","classified_fixed","0"
"zapdos-galar","145","0","classified_fixed","0"
"moltres","146","0","classified_fixed","0"
"moltres-galar","146","0","classified_fixed","0"
"dratini","147","0","single_record","0"
"dragonair","148","0","single_record","0"
"dragonite","149","1","modeled","0"
"dragonite-mega","149","1","modeled","0"
"mewtwo","150","6","modeled","0"
"mewtwo-mega-x","150","3","modeled","0"
"mewtwo-mega-y","150","3","modeled","0"
