species,url,cacheSha256,hasFormDataSection
"Melmetal","https://bulbapedia.bulbagarden.net/wiki/Melmetal_(Pok%C3%A9mon)","5684b4e8a815c2f0fa4681e1f7e9d4df9ac1fb795b5bc47dfe8706317f2faf4d","true"
"Arcanine","https://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon)","5d1838a5e7494198682027bd7badf05f837df9022db1c9dfddcfbdaacb3d9457","false"
"Dialga","https://bulbapedia.bulbagarden.net/wiki/Dialga_(Pok%C3%A9mon)","53f7d3a84eee9792d8715509beb9dc58253e0bc179e5fe34486b5a8f0ec962ef","true"
"Feraligatr","https://bulbapedia.bulbagarden.net/wiki/Feraligatr_(Pok%C3%A9mon)","90138588d4374f82768dbdf31b71863b4140e14c26d3ba7094620adfb9f8039a","true"
"Kricketune","https://bulbapedia.bulbagarden.net/wiki/Kricketune_(Pok%C3%A9mon)","1d57798b008be298cf688dfa42d5e04e734aeb53d533ed4122d271a086137977","false"
"Hoopa","https://bulbapedia.bulbagarden.net/wiki/Hoopa_(Pok%C3%A9mon)","b155c968a7314c65f99d7d028dedc953f718bbe205cc93b1b3933828d6725b8c","true"
"Yamask","https://bulbapedia.bulbagarden.net/wiki/Yamask_(Pok%C3%A9mon)","4a8f6fb7282124ac6d24a5f75009d5c802e89590d1aaf20af9381653bec4185a","false"
"Kangaskhan","https://bulbapedia.bulbagarden.net/wiki/Kangaskhan_(Pok%C3%A9mon)","76588a5ced190d63dcc94bb0ff1d8d95b1673a6eaa0a54d1d7dffaa64358208c","true"
"Gulpin","https://bulbapedia.bulbagarden.net/wiki/Gulpin_(Pok%C3%A9mon)","95643f44fcdf5d548747be23b2cb99f8015d2e485038669aceb16ae56ac328fa","false"
"Mimikyu","https://bulbapedia.bulbagarden.net/wiki/Mimikyu_(Pok%C3%A9mon)","c094f1ea45d1ad356891704dda86174f3ae23c03655377ca0281581ec39bd3a7","true"
"Pikachu","https://bulbapedia.bulbagarden.net/wiki/Pikachu_(Pok%C3%A9mon)","cfa022775a560b666ab42c1faedf04c374910ff155c1738dd3afb3d91eb3b514","true"
"Tatsugiri","https://bulbapedia.bulbagarden.net/wiki/Tatsugiri_(Pok%C3%A9mon)","ed22b514432810de281524972eca76c217edd533e24b78078be531491e7f9aa1","true"
"Slowbro","https://bulbapedia.bulbagarden.net/wiki/Slowbro_(Pok%C3%A9mon)","237a68b5afe92222b14cfd127357598d2831b107910d9cf189bf03690378b958","true"
"Greninja","https://bulbapedia.bulbagarden.net/wiki/Greninja_(Pok%C3%A9mon)","7bd0593e58f97eb0cea27051fed938eef9e4433f5becf63658029cf922e23a66","true"
"Weezing","https://bulbapedia.bulbagarden.net/wiki/Weezing_(Pok%C3%A9mon)","25ce4ce9c822d54339559214935a0f0efa008db5b92f281dbeb5c407b18aece9","false"
"Orbeetle","https://bulbapedia.bulbagarden.net/wiki/Orbeetle_(Pok%C3%A9mon)","d8dcd6afcf7985a5c9040bacb6fab6a432045edfa02402208a87969484ac98bc","true"
"Growlithe","https://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon)","f66266c82833a1afec1a982e294bf3f2d3692df5ccce8ea38f0d4b1c7d592fc8","false"
"Gallade","https://bulbapedia.bulbagarden.net/wiki/Gallade_(Pok%C3%A9mon)","eeca9648c398b45355a9765dab86eaf7fd19bb791675c2fc8314b5d0e9316d5c","true"
"Eelektross","https://bulbapedia.bulbagarden.net/wiki/Eelektross_(Pok%C3%A9mon)","992c865e56d6c6b1323d30d1a4584679b5a862a40f8e956afd0781a2a74b72dd","true"
"Donphan","https://bulbapedia.bulbagarden.net/wiki/Donphan_(Pok%C3%A9mon)","0359c4fe945ca42c62a15d36ce3be5a410a689a96a4f8b058b1b88bb1331059f","false"
"Rattata","https://bulbapedia.bulbagarden.net/wiki/Rattata_(Pok%C3%A9mon)","edb99454a1304b69a43c0f723c4cb30becfdb76511a724c95de0e9b6dc1045f5","false"
"Roselia","https://bulbapedia.bulbagarden.net/wiki/Roselia_(Pok%C3%A9mon)","37fc2027b296e6993a034015a180fb8eda05e31b0ccfd4aa59cdd2ec74a186e3","false"
"Magikarp","https://bulbapedia.bulbagarden.net/wiki/Magikarp_(Pok%C3%A9mon)","27a25fd3696af50d01c5bb99996bc6b4467c7e631becaca7c9ce2940c0a91dd3","false"
"Mamoswine","https://bulbapedia.bulbagarden.net/wiki/Mamoswine_(Pok%C3%A9mon)","66dcef299d5e17c106ec55da126d0b5ee10d65f15271cc3c18e59b0eb98e05e9","false"
"Kyurem","https://bulbapedia.bulbagarden.net/wiki/Kyurem_(Pok%C3%A9mon)","eca65fdb07b4238156b79f8b765b9d3e4e5a4229b1d8a71624f7fdfaa2d7b673","true"
"Corviknight","https://bulbapedia.bulbagarden.net/wiki/Corviknight_(Pok%C3%A9mon)","5a9d5977b6e0012876b8f43224f9e3d3664e027cc1dbfa756a09c6d008032b1b","true"
"Oricorio","https://bulbapedia.bulbagarden.net/wiki/Oricorio_(Pok%C3%A9mon)","506fd950e9a2ae7dd7ec3a21a7de6e48b3c167936e115c2d7fcfd7f616d081e7","true"
"Vulpix","https://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pok%C3%A9mon)","ab767909995bd4e5306a9ff6f7be777cee8f32c1984dbd6545a069c2a442edca","false"
"Scyther","https://bulbapedia.bulbagarden.net/wiki/Scyther_(Pok%C3%A9mon)","ef78301187b5d8e95473730c9e6e8be2fcefc66493f473ea2f3b0cb6a585d4d2","false"
"Wishiwashi","https://bulbapedia.bulbagarden.net/wiki/Wishiwashi_(Pok%C3%A9mon)","02c6b2a4a6ddf24920ddbc23e1956d423ee8fff08b9cf75c9b8cc5c61a06db41","true"
"Butterfree","https://bulbapedia.bulbagarden.net/wiki/Butterfree_(Pok%C3%A9mon)","e586818d578e3aff1bc9610c7e55e7fdef8dccbd0a513c275830e904b13962af","true"
"Pinsir","https://bulbapedia.bulbagarden.net/wiki/Pinsir_(Pok%C3%A9mon)","6e328e656cba987fe753b6232144344a0374381820beab68c7e0c89a767db597","true"
"Abomasnow","https://bulbapedia.bulbagarden.net/wiki/Abomasnow_(Pok%C3%A9mon)","0b5f07b18d554af6e27ae3c493afda35b9cd75edbf7f3ab71a35d19acb1928a5","true"
"Poltchageist","https://bulbapedia.bulbagarden.net/wiki/Poltchageist_(Pok%C3%A9mon)","087fdc203ed1f1109e124b4ab14aa0ac835401be52acb2438046fda7db2d7882","true"
"Arceus","https://bulbapedia.bulbagarden.net/wiki/Arceus_(Pok%C3%A9mon)","5ea0302992a61b3f33fdd5c3fdad64a8bcc58218369245555cc011955f393559","true"
"Blaziken","https://bulbapedia.bulbagarden.net/wiki/Blaziken_(Pok%C3%A9mon)","1cac3dc5663f74fb12f7a97cb44c6a003151e8e56874b6b4b95b102aaaf9ab2b","true"
"Cramorant","https://bulbapedia.bulbagarden.net/wiki/Cramorant_(Pok%C3%A9mon)","4672f9760dc9b29c6d14f7aa9eb1c5a977ab44d13da0389d7c4f5831df186481","true"
"Falinks","https://bulbapedia.bulbagarden.net/wiki/Falinks_(Pok%C3%A9mon)","1a240719bdd20eca8430cb0f0fa2547b26fde609b62a232525f97db6d4f299cb","true"
"Terapagos","https://bulbapedia.bulbagarden.net/wiki/Terapagos_(Pok%C3%A9mon)","2a059dc6529203418cf4f0bcd2fbf1fc7d4b62a65e5e75eabe0ae12efe2e82cf","true"
"Diancie","https://bulbapedia.bulbagarden.net/wiki/Diancie_(Pok%C3%A9mon)","3a0bc225505e5b09008e2f93373f971be4f4c61752cac0a05eda76a66ba8b232","true"
"Eternatus","https://bulbapedia.bulbagarden.net/wiki/Eternatus_(Pok%C3%A9mon)","44ca160761d618379b53cc6a2268ab3c4d2bfdea053b3bf8660e6bbd793a46eb","true"
"Kyogre","https://bulbapedia.bulbagarden.net/wiki/Kyogre_(Pok%C3%A9mon)","1c3706efd8458271928d5fbd537b31f1efc85881a4258c6469f6ba02db12fea2","true"
"Basculin","https://bulbapedia.bulbagarden.net/wiki/Basculin_(Pok%C3%A9mon)","2fe342f3853eb9e8e62a341a6909fbbd333179c7c1b12c6be7f244597b57d3a8","true"
"Mewtwo","https://bulbapedia.bulbagarden.net/wiki/Mewtwo_(Pok%C3%A9mon)","c3659c6de7ad9315d0402bea021849de290a95c5aa3183c860f39d294984c3c5","true"
"Darumaka","https://bulbapedia.bulbagarden.net/wiki/Darumaka_(Pok%C3%A9mon)","e7494e6d36aa400442b5ee58ab7f6b41da7402217ec779a10bb6058458b31d3d","false"
"Metagross","https://bulbapedia.bulbagarden.net/wiki/Metagross_(Pok%C3%A9mon)","ad135dd9c215fc1d462efbac15942e9d5936a530ac8beba927ae3ccef30d8960","true"
"Necrozma","https://bulbapedia.bulbagarden.net/wiki/Necrozma_(Pok%C3%A9mon)","8802a4320199cf39f70d992e7a8ed75fa8b97d2346573f733479e244eb3aa0c6","true"
"Rotom","https://bulbapedia.bulbagarden.net/wiki/Rotom_(Pok%C3%A9mon)","55b2eb29509e5bbe8f78eb49cf8bc7d6b8a5faaaefa65d2f7b59aa22d6ad714c","true"
"Geodude","https://bulbapedia.bulbagarden.net/wiki/Geodude_(Pok%C3%A9mon)","b6717a24c103a133e91426b9cb098d6e37dac318a2341e16c1d95043ca6ba77a","false"
"Inteleon","https://bulbapedia.bulbagarden.net/wiki/Inteleon_(Pok%C3%A9mon)","6a66c74613c4c1e16e2ee2d7b6c494881d4b0ec902d6279c72e2a3d817ba53cc","true"
"Eevee","https://bulbapedia.bulbagarden.net/wiki/Eevee_(Pok%C3%A9mon)","7b6b20ae424d96a8bb179e97891b8e0ad23dccd6072dff2db44263db23b43266","true"
"Ponyta","https://bulbapedia.bulbagarden.net/wiki/Ponyta_(Pok%C3%A9mon)","d74836e3652403b08bb5ea21d9fd8c3a8dd100bc31d1ebdad100c2679a2ec693","false"
"Linoone","https://bulbapedia.bulbagarden.net/wiki/Linoone_(Pok%C3%A9mon)","44f6155079845e3bd400cd68f739ecd1d91f816a5e3fb7fc6bc64c9c2738ac43","false"
"Camerupt","https://bulbapedia.bulbagarden.net/wiki/Camerupt_(Pok%C3%A9mon)","3d65750827990eb6cfdb361429af711839f067168ef275ed5d83cfb30a322102","true"
"Victreebel","https://bulbapedia.bulbagarden.net/wiki/Victreebel_(Pok%C3%A9mon)","4851b3d612d770d0b85338585f6e9dcaabce30361ab9030c4bfb0f6ca74cdc1a","true"
"Goodra","https://bulbapedia.bulbagarden.net/wiki/Goodra_(Pok%C3%A9mon)","f58e5c6954e9f8a62a5e49497178f4db7c6055ff3b34fa86945ffef613fd8fd0","false"
"Gastrodon","https://bulbapedia.bulbagarden.net/wiki/Gastrodon_(Pok%C3%A9mon)","c3406865330ec647b8cd6424c3a89652d1061e24f12a3c42cff88d4f2ad9529b","true"
"Burmy","https://bulbapedia.bulbagarden.net/wiki/Burmy_(Pok%C3%A9mon)","fa14a2ed079bcc1cb13c0f2cd42b2a3c1334f9e52478daef871088e8e80f52ec","true"
"Castform","https://bulbapedia.bulbagarden.net/wiki/Castform_(Pok%C3%A9mon)","b87d1750462b7cdbefd463b938a23ea0f76e6750fdf2953204ed3fcd424351bc","true"
"Heatran","https://bulbapedia.bulbagarden.net/wiki/Heatran_(Pok%C3%A9mon)","6e1fc14f0240487a9391aeb2a72bd0a8cacfdff8a3d8dc6ded6ad25ab712a408","true"
"Cacturne","https://bulbapedia.bulbagarden.net/wiki/Cacturne_(Pok%C3%A9mon)","0549aa0e5c1adad1f0858e265222402bac0e9c4d0b1f9a43ce1a9793ced6c9e2","false"
"Tangrowth","https://bulbapedia.bulbagarden.net/wiki/Tangrowth_(Pok%C3%A9mon)","5d811ab9b4758877a70c1ab5c820cff368ed9d71aaa5fd15f65bdf5e75a97bc3","false"
"Unown","https://bulbapedia.bulbagarden.net/wiki/Unown_(Pok%C3%A9mon)","4ae7af6f497bf0f00146447b60f304d9913750061689686113f73bf7b8cd6f52","true"
"Lapras","https://bulbapedia.bulbagarden.net/wiki/Lapras_(Pok%C3%A9mon)","9f20514603687cf327c355d767206feb45516d97310652a5f11a217a45737d4c","true"
"Qwilfish","https://bulbapedia.bulbagarden.net/wiki/Qwilfish_(Pok%C3%A9mon)","b6a4fa44262b0f7c96e2eb9888bb7f6dd21c8b8d2f9a07df32cef491765fc9fa","false"
"Sandslash","https://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pok%C3%A9mon)","aea3c395c796964c3715a178b71d8e8a76aeba1e414eee6b3009916862e1ccd6","false"
"Dragalge","https://bulbapedia.bulbagarden.net/wiki/Dragalge_(Pok%C3%A9mon)","0f65b5fdd79bd1e7ddd79ea07ff0a892b0ffc340903e8c4ee9dc8203d7156bfb","true"
"Rhyperior","https://bulbapedia.bulbagarden.net/wiki/Rhyperior_(Pok%C3%A9mon)","c7a25fb24ad39d2e1f80eb3196a923e79d1e3c9962496df25dbd08512ef0d8e4","false"
"Hawlucha","https://bulbapedia.bulbagarden.net/wiki/Hawlucha_(Pok%C3%A9mon)","1cf9d37f9f04e90c492dcbd71269410deea9da37ff8728ef050f03c7cf046f50","true"
"Articuno","https://bulbapedia.bulbagarden.net/wiki/Articuno_(Pok%C3%A9mon)","70406875805008d2a07e2a85841f455cc4658777a0932f4793330168805637c2","false"
"Octillery","https://bulbapedia.bulbagarden.net/wiki/Octillery_(Pok%C3%A9mon)","c183e59cd963a669d433fe2bada913c38b7a89219ac635af623fa2a0f69974bc","false"
"Stunfisk","https://bulbapedia.bulbagarden.net/wiki/Stunfisk_(Pok%C3%A9mon)","c25f7246c123f9ae6e8707b69c84710afd27c868319d9cffb8fd6fff4736bb6e","false"
"Rhydon","https://bulbapedia.bulbagarden.net/wiki/Rhydon_(Pok%C3%A9mon)","7dc55ec2d4fe6854f929b519734a4b1ede1dcfc8170b85cbebed6c2e9d4c45b8","false"
"Murkrow","https://bulbapedia.bulbagarden.net/wiki/Murkrow_(Pok%C3%A9mon)","1550f95008cf50a4850b619fa1b9baaad5e737b9e2286ae366dcd285218b3d45","false"
